#,name,name_ko,type,category,area,used_on,hours (regular),closed,booking,address_ko (show taxi driver),phone,lat,lng,google_maps,kakao_map
1,Yukgaphane,육값하네,food,Korean barbecue restaurant,Hapjeong · Mangwon,,hours unknown,,,서울특별시 마포구 양화로6길 94 육값하네,+82 2-325-9770,37.5481324,126.9193871,https://maps.google.com/?cid=8585946267106154286,
2,Reissue coffee roasters,리이슈 커피 로스터스,coffee,Cafe,Hongdae · Yeonnam · Yeonhui,Day 3,Tue–Sat 10:00–20:00; Sun 11:00–20:00; closed Mon,Mon,,서울 마포구 연남로 35 2층 (연남동),02-336-6884,37.562694199999996,126.9213621,https://maps.google.com/?cid=6007669431700229694,https://place.map.kakao.com/1276356795
3,Piknic,피크닉 piknic,museum,Exhibit,Namsan · Myeongdong,,"; closed Mon,Tue,Wed,Thu,Fri,Sat,Sun","Mon,Tue,Wed,Thu,Fri,Sat,Sun",reservable (Kakao),서울 중구 퇴계로6가길 30 (남창동),02-6245-6371,37.556964199999996,126.97813909999999,https://maps.google.com/?cid=365643846469781489,https://place.map.kakao.com/225473638
4,Tabster,탭스터,bar,Beer store,Hongdae · Yeonnam · Yeonhui,Day 3,"Thu–Fri 18:00–23:00; Sat–Sun 16:00–23:00; closed Mon,Tue,Wed","Mon,Tue,Wed",reservable (Kakao),서울 서대문구 증가로 1 1층 103호 (연희동),070-7576-2448,37.5686403,126.93190279999999,https://maps.google.com/?cid=12499869823805260524,https://place.map.kakao.com/1139437500
5,Frieze House Seoul,프리스 하우스,museum,Art gallery,Gwangjang · Dongdaemun,,"; closed Mon,Tue,Wed,Thu,Fri,Sat,Sun","Mon,Tue,Wed,Thu,Fri,Sat,Sun",reservable (Kakao),서울 중구 동호로15길 17 (신당동),,37.5560864,127.0086956,https://maps.google.com/?cid=12150866741907023025,https://place.map.kakao.com/751256660
6,Kukje Gallery,국제갤러리,museum,Art gallery,Samcheong · Anguk · Ikseon,Day 14,Mon–Sat 10:00–18:00; Sun 10:00–17:00,,,서울 종로구 삼청로 54 1~3층 (소격동),02-733-8449,37.5806294,126.98061249999999,https://maps.google.com/?cid=11430488003591782875,https://place.map.kakao.com/17505797
7,Gallery Hyundai,갤러리현대,museum,Art gallery,Samcheong · Anguk · Ikseon,Day 14,Tue–Sun 10:00–18:00; closed Mon,Mon,,서울 종로구 삼청로 14 (사간동),02-2287-3500,37.577203,126.97991309999999,https://maps.google.com/?cid=3779951409708653287,https://place.map.kakao.com/9475956
8,Art Sonje Center,아트선재센터,museum,Art museum,Samcheong · Anguk · Ikseon,Day 14,Tue–Sun 12:00–18:00; closed Mon,Mon,reservable (Kakao),"서울 종로구 율곡로3길 87 지하1층,1-3층 (소격동)",02-733-8949,37.579434299999996,126.9818277,https://maps.google.com/?cid=4371636776583249286,https://place.map.kakao.com/8474452
9,쿠나장롱,쿠나장롱,shop,Poster store,Seongsu,Day 15,"Wed–Fri 11:00–19:00; Sat–Sun 12:00–18:00; closed Mon,Tue","Mon,Tue",,서울 성동구 성수일로4길 52 지노빌딩 3층 301호 (성수동2가),070-7778-2309,37.542497,127.0542186,https://maps.google.com/?cid=4132780644517765994,https://place.map.kakao.com/1070179980
10,Daelim Changgo,성수동 대림창고 갤러리,coffee,Cafe,Seongsu,Day 9,Daily 11:00–22:00,,,서울 성동구 성수이로 78 1층 (성수동2가),0507-1390-9669,37.541838399999996,127.0564636,https://maps.google.com/?cid=8793465796045987589,https://place.map.kakao.com/1128989913
11,백사실계곡,백사실계곡,park,Nature preserve,Seochon · Gyeongbokgung,Day 14,hours unknown,,,서울 종로구 부암동 115,02-2148-2854,37.601131699999996,126.96631579999999,https://maps.google.com/?cid=3272103362290283781,https://place.map.kakao.com/7891659
12,BOONTHESHOP,분더샵 청담,shop,Clothing store,Apgujeong · Dosan · Sinsa,Day 10,"Tue–Sat 10:00–18:00; closed Mon,Sun","Mon,Sun",,서울 강남구 압구정로60길 21 지하1층 (청담동),02-2056-1240,37.5259243,127.0419225,https://maps.google.com/?cid=7792829390464245695,https://place.map.kakao.com/667306919
13,"National Museum of Modern and Contemporary Art, Seoul",국립현대미술관 서울,museum,Modern art museum,Samcheong · Anguk · Ikseon,Day 14,"Mon–Tue,Thu–Fri,Sun 10:00–18:00; Wed,Sat 10:00–21:00",,,서울 종로구 삼청로 30 국립현대미술관 서울관 1층 (소격동),1668-2764,37.5788333,126.9804281,https://maps.google.com/?cid=18118236120373634053,https://place.map.kakao.com/749467532
14,Korea Furniture Museum,한국가구박물관,museum,Museum,Samcheong · Anguk · Ikseon,,hours unknown,,reservable (Kakao),서울 성북구 대사관로 121 (성북동),02-745-0181,37.6000442,126.9930488,https://maps.google.com/?cid=4885176564910853104,https://place.map.kakao.com/8141776
